Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Aruba,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,
AFE,Africa Eastern and Southern,"Physicians (per 1,000 people)",,,,,,,,,,0.168834673,,,,,,,0.191352014,,,
AFG,Afghanistan,"Physicians (per 1,000 people)",0.1899,,,,,0.1596,0.1743,0.1744,0.2126,0.2365,0.2518,0.2414,0.2846,0.2983,0.285,0.2782,,,,
AFW,Africa Western and Central,"Physicians (per 1,000 people)",,,,,,,,,,0.218469626,,,,,,,0.236817201,,,
AGO,Angola,"Physicians (per 1,000 people)",,,,0.0621,,,,,0.1313,,,,,,,,0.2146,,,
ALB,Albania,"Physicians (per 1,000 people)",1.31,1.1695,1.1863,1.1913,,1.1838,1.1951,,1.2297,1.2347,1.2217,1.2683,1.2773,,,1.2164,,2.1584,1.6471,
AND,Andorra,"Physicians (per 1,000 people)",2.6003,2.9,3.3333,3.1324,3.2319,3.0123,3.0109,,3.1479,,,,,,3.3333,,,,,
ARB,Arab World,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,1.102697101,,,
ARE,United Arab Emirates,"Physicians (per 1,000 people)",1.9829,2.0027,2.0763,1.9176,1.5193,1.3298,1.4053,1.6405,1.5177,1.4195,1.4369,1.4767,1.7413,1.9953,2.2111,2.371,2.4356,2.5278,,
ARG,Argentina,"Physicians (per 1,000 people)",3.2481,,,3.1857,,,,,,,,,3.9385,,3.99,4.0013,3.9901,,,
ARM,Armenia,"Physicians (per 1,000 people)",2.6187,2.5633,2.4563,2.4604,2.5643,2.5897,2.6724,2.7432,2.7679,2.8419,2.8677,2.8968,2.9031,2.8928,2.9143,,4.4023,,,
ASM,American Samoa,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,"Physicians (per 1,000 people)",,,,,,,1.7143,0.5269,,,,,,,,,2.7673,,,
AUS,Australia,"Physicians (per 1,000 people)",2.5732,2.5717,2.6406,2.7146,2.7794,2.8338,2.9954,3.0056,3.1085,3.3429,3.2878,3.2858,3.353,3.4314,3.4886,3.5672,3.6778,3.7595,,
AUT,Austria,"Physicians (per 1,000 people)",3.9616,4.0337,4.1173,4.2095,4.3355,4.4684,4.5528,4.6169,4.706,4.8016,4.8398,4.8859,4.9744,5.0359,5.1035,5.1234,5.1697,5.2114,,
AZE,Azerbaijan,"Physicians (per 1,000 people)",3.548,3.5618,3.5505,3.5568,3.5819,3.5649,3.7124,3.6844,3.6751,3.6629,3.4376,3.4901,3.4558,3.446,,,,,,
BDI,Burundi,"Physicians (per 1,000 people)",,,,0.028,,,,,,0.0482,0.0399,0.0539,0.0581,0.0619,0.05,,0.1001,,,
BEL,Belgium,"Physicians (per 1,000 people)",2.8397,2.8497,2.8454,2.8522,2.8521,2.8664,2.8855,2.9021,2.9078,2.9085,2.9219,2.9393,2.9585,2.9723,3.0138,3.0679,3.0709,3.1146,5.9556,
BEN,Benin,"Physicians (per 1,000 people)",,,,0.0401,,,,0.0623,,0.0558,0.0577,,,,,0.0481,,0.0791,0.0647,
BFA,Burkina Faso,"Physicians (per 1,000 people)",0.04,,,0.0543,,,,0.0322,0.0446,0.0457,0.0386,0.0475,0.047,0.0487,0.0657,0.0645,0.0847,0.0853,0.094,
BGD,Bangladesh,"Physicians (per 1,000 people)",0.2498,,0.2714,0.2809,0.3084,0.3167,0.3293,0.342,0.3544,0.3635,0.3839,0.4001,0.4218,0.4887,0.4858,0.4974,0.5433,0.5809,0.6367,
BGR,Bulgaria,"Physicians (per 1,000 people)",3.4279,3.5199,3.6042,3.5387,3.6651,3.6805,3.68,3.6488,3.7401,3.7661,3.8467,3.8995,3.963,3.975,4.0332,,,4.2071,,
BHR,Bahrain,"Physicians (per 1,000 people)",1.0636,1.0774,1.0479,0.9677,1.0436,1.0142,1.0155,0.9896,0.9695,0.9493,0.9451,0.957,0.9536,0.9573,0.9257,,,,,
BHS,"Bahamas, The","Physicians (per 1,000 people)",,,,,,,,2.7553,,,2.3081,,,,,,1.9387,,,
BIH,Bosnia and Herzegovina,"Physicians (per 1,000 people)",1.4499,1.4478,1.4776,1.509,1.5332,1.5754,1.6429,1.6714,1.738,1.7987,1.8794,1.949,2.0355,2.1326,2.1616,,,,,
BLR,Belarus,"Physicians (per 1,000 people)",3.2801,3.2988,3.3184,3.302,3.3145,3.3795,3.5306,3.1477,3.2845,3.2498,4.7611,4.8352,4.8534,5.012,5.1905,,,,,
BLZ,Belize,"Physicians (per 1,000 people)",,,,,,,,,0.7658,,,1.145,,0.5659,,,1.1229,1.078,,
BMU,Bermuda,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,"Physicians (per 1,000 people)",1.2038,,,,,,0.3316,,,0.4385,0.4671,,,,,1.5901,1.0299,,,
BRA,Brazil,"Physicians (per 1,000 people)",1.3895,1.4181,1.475,1.587,1.6663,1.7007,1.7306,1.7802,1.8171,1.8139,1.8491,,1.882,,,,2.1652,,2.3106,
BRB,Barbados,"Physicians (per 1,000 people)",1.5413,,,,1.7698,,,,,,,,,,,,2.4878,,,
BRN,Brunei Darussalam,"Physicians (per 1,000 people)",,1.1534,,1.2883,1.0682,1.0775,1.048,1.4866,1.1592,1.4488,1.5443,1.4937,1.6222,1.5105,1.7812,,1.609,,,
BTN,Bhutan,"Physicians (per 1,000 people)",,,,0.1847,,,0.2166,0.2546,,,,0.2765,0.2858,0.3393,0.3448,0.4059,0.4024,0.4242,0.46,
BWA,Botswana,"Physicians (per 1,000 people)",0.3045,0.3144,0.3033,0.405,0.259,0.3219,0.378,0.3738,0.3547,0.4122,0.4064,0.4015,,,,0.3843,,0.2893,,
CAF,Central African Republic,"Physicians (per 1,000 people)",,,,0.0836,,,,0.0405,0.0473,,,,,,0.0721,,,,,
CAN,Canada,"Physicians (per 1,000 people)",1.8871,1.8969,,1.8971,,1.9086,,1.959,,2.0384,,2.3962,2.4509,2.4961,2.5388,2.3105,2.6102,2.4251,2.4425,
CEB,Central Europe and the Baltics,"Physicians (per 1,000 people)",,,,,,,,,,2.730733515,,,,,,,3.102328954,,,
CHE,Switzerland,"Physicians (per 1,000 people)",3.9361,4.0417,4.2057,4.2567,4.2824,4.326,4.3232,3.8298,3.8476,3.8166,3.8355,3.9102,4.0303,4.1171,4.1898,4.2473,4.2957,4.3328,,
CHI,Channel Islands,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,
CHL,Chile,"Physicians (per 1,000 people)",,0.8921,0.9466,0.9842,0.9804,1.0404,1.0365,1.0389,1.0294,2.8665,3.1709,3.4942,3.7612,4.0556,4.294,4.5875,4.8822,5.1824,,
CHN,China,"Physicians (per 1,000 people)",1.2535,1.1134,1.16,1.1895,1.2127,1.247,1.2676,1.3166,1.3922,1.4334,1.4596,1.5367,1.6332,1.6877,1.7732,1.8647,1.9798,,,
CIV,Cote d'Ivoire,"Physicians (per 1,000 people)",,,,0.1158,0.0925,,,0.1401,,,0.1531,,,0.2314,,,,0.1614,0.1623,
CMR,Cameroon,"Physicians (per 1,000 people)",,,,0.181,0.0592,,0.0704,,0.068,0.0842,0.0881,,,,,,,,,
COD,"Congo, Dem. Rep.","Physicians (per 1,000 people)",,,,0.107,,,,,0.0934,,,,0.0899,,,,,,,
COG,"Congo, Rep.","Physicians (per 1,000 people)",,,,0.2154,,0.2088,0.1035,,,0.1156,,,,,,0.1064,,,,
COL,Colombia,"Physicians (per 1,000 people)",1.2721,1.3031,1.3338,1.3731,1.4146,1.4521,1.494,1.545,1.5999,1.6493,3.0548,3.1599,3.2782,3.4065,3.4971,3.5929,3.7157,3.8441,,
COM,Comoros,"Physicians (per 1,000 people)",,,,0.1926,0.1897,,,,0.1901,,,0.1699,,,,,,,,
CPV,Cabo Verde,"Physicians (per 1,000 people)",,,,0.493,,,,,0.5157,0.5928,0.5853,0.5146,0.6019,,0.7814,,,,,
CRI,Costa Rica,"Physicians (per 1,000 people)",,,,,,2.0415,2.0905,2.1577,2.2178,2.3057,2.3721,2.4578,2.5421,2.6434,1.3794,1.3759,1.3386,2.8939,,
CSS,Caribbean small states,"Physicians (per 1,000 people)",,,,,,,,,,0.890456746,,,,,,,1.668357697,,,
CUB,Cuba,"Physicians (per 1,000 people)",5.9406,5.9894,6.0572,6.1965,6.2686,6.3483,6.4363,6.6345,6.6698,6.8152,6.9969,7.2901,7.4183,7.5673,7.769,7.9541,8.295,8.4199,,
CUW,Curacao,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,
CYM,Cayman Islands,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,"Physicians (per 1,000 people)",1.915,1.8782,1.8619,1.9121,1.8965,1.8374,2.0147,2.0507,2.1064,2.1562,2.2484,2.296,2.4076,2.4993,2.6236,1.9509,,,,
CZE,Czech Republic,"Physicians (per 1,000 people)",3.4293,3.487,3.512,3.5067,3.5465,4.2723,4.2612,3.5415,3.5612,3.5743,3.6125,3.6502,3.6628,3.9345,3.9516,4.0194,4.0676,4.024,4.1157,
DEU,Germany,"Physicians (per 1,000 people)",3.329,3.36,3.3896,3.4104,3.4314,3.4748,3.5287,3.5863,3.6638,3.7567,3.8491,3.9197,4.0087,4.0846,4.1342,4.1944,4.2488,4.2996,,
DJI,Djibouti,"Physicians (per 1,000 people)",,,,0.1672,0.1788,0.2328,,,,,,,,0.2237,,,,,,
DMA,Dominica,"Physicians (per 1,000 people)",1.7791,,,,,,,,,,,,,,,,1.1189,1.1034,,
DNK,Denmark,"Physicians (per 1,000 people)",2.9333,3.0383,3.083,3.2276,3.3333,3.4192,3.4527,3.5768,3.6488,3.7211,3.7808,3.8243,3.8335,3.8632,3.9257,4.0099,4.1324,4.2247,,
DOM,Dominican Republic,"Physicians (per 1,000 people)",,,,,,,,1.098,,,1.5268,,,,,,,1.41,1.4518,
DZA,Algeria,"Physicians (per 1,000 people)",,1.1103,,,1.0242,,1.1958,,,,,,,,,1.8325,,1.7193,,
EAP,East Asia & Pacific (excluding high income),"Physicians (per 1,000 people)",,,,,,,,,,1.19115233,,,,,,,1.58509789,,,
EAR,Early-demographic dividend,"Physicians (per 1,000 people)",,,,,,,,,,0.872606014,,,,,,,1.127275856,,,
EAS,East Asia & Pacific,"Physicians (per 1,000 people)",,,,,,,,,,1.29486367,,,,,,,1.681981449,,,
ECA,Europe & Central Asia (excluding high income),"Physicians (per 1,000 people)",,,,,,,,,,4.275890504,,,,,,,3.321140739,,,
ECS,Europe & Central Asia,"Physicians (per 1,000 people)",,,,,,,,,,4.474760227,,,,,,,4.306934809,,,
ECU,Ecuador,"Physicians (per 1,000 people)",1.5439,1.5667,1.4974,,,,,,1.5983,2.1111,1.6582,,,,2.0648,2.0368,2.22,,,
EGY,"Egypt, Arab Rep.","Physicians (per 1,000 people)",,,0.5285,,,,,,,,,,,0.7876,0.8217,0.8214,0.7993,0.769,0.7463,
EMU,Euro area,"Physicians (per 1,000 people)",,,,,,,,,,4.972549963,,,,,,,5.457797956,,,
ERI,Eritrea,"Physicians (per 1,000 people)",,,,0.079,,,,,,,,,,,,,,,,
ESP,Spain,"Physicians (per 1,000 people)",3.1002,3.0932,3.1928,3.4135,3.5159,3.598,3.5447,3.536,3.5807,3.7296,3.8074,3.7999,3.7857,3.7767,3.8267,3.8112,3.8723,4.0299,,
EST,Estonia,"Physicians (per 1,000 people)",2.7757,2.9573,2.9915,3.0214,3.1401,3.1762,3.2508,3.3348,3.2767,3.2422,3.2929,3.2822,3.3318,3.3564,3.4152,3.4546,3.4629,,,
ETH,Ethiopia,"Physicians (per 1,000 people)",0.028,0.029,0.0268,0.0269,0.0321,0.0269,0.0224,0.0251,0.0252,,,,,,,,,0.0769,,
EUU,European Union,"Physicians (per 1,000 people)",,,,,,,,,,4.455015856,,,,,,,4.926259585,,,
FCS,Fragile and conflict affected situations,"Physicians (per 1,000 people)",,,,,,,,,,0.365295627,,,,,,,0.43201647,,,
FIN,Finland,"Physicians (per 1,000 people)",2.4936,2.5206,2.5569,2.5835,2.9913,3.0262,3.0351,3.0618,3.0861,3.2653,3.2635,3.2854,3.2966,3.3922,3.3309,4.5343,4.5885,4.6404,,
FJI,Fiji,"Physicians (per 1,000 people)",,,0.4656,,,,,0.3986,0.4358,,,,0.8156,,0.86,,,,,
FRA,France,"Physicians (per 1,000 people)",6.5289,6.5741,6.5996,6.6298,6.6327,6.6225,6.5901,6.5837,6.4945,6.5029,6.3244,6.349,6.3897,6.423,6.4477,6.4752,6.5131,6.5344,,
FRO,Faroe Islands,"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.","Physicians (per 1,000 people)",,,0.5613,,0.5844,,,0.6184,0.1942,,,,,,,,,,,
GAB,Gabon,"Physicians (per 1,000 people)",,,,0.2918,,,,0.0968,,,,,,,,0.3561,0.6819,,,
GBR,United Kingdom,"Physicians (per 1,000 people)",4.0679,4.2168,4.3967,4.6605,4.8134,4.9087,4.9607,5.1063,5.2479,5.2462,5.3144,5.3284,5.3546,5.4258,5.4864,5.5095,5.5691,5.6162,5.8233,
